Time = 12:40:19.525, Vertical = 1, Distance = 15.97026, Driven = 2.220331, Gap = -1.4992551.5,Speed = 4.02608
Time = 12:40:19.656, Vertical = 1, Distance = 15.96761, Driven = 2.753273, Gap = -1.4990561.5,Speed = 4.747139
Time = 12:40:19.756, Vertical = 1, Distance = 15.96457, Driven = 3.375853, Gap = -1.4988241.5,Speed = 5.538445
Time = 12:40:19.913, Vertical = 1, Distance = 15.9593, Driven = 4.085854, Gap = -1.4985581.5,Speed = 6.266387
Time = 12:40:20.9, Vertical = 1, Distance = 15.95355, Driven = 4.885105, Gap = -1.498261.5,Speed = 7.005912
Time = 12:40:20.152, Vertical = 1, Distance = 15.94968, Driven = 5.771323, Gap = -1.4979291.5,Speed = 7.720147
Time = 12:40:20.247, Vertical = 1, Distance = 15.9458, Driven = 6.743945, Gap = -1.4975661.5,Speed = 8.426503
Time = 12:40:20.412, Vertical = 1, Distance = 15.94192, Driven = 7.801766, Gap = -1.497171.5,Speed = 9.122666
Time = 12:40:20.479, Vertical = 1, Distance = 15.93816, Driven = 8.943623, Gap = -1.4967441.5,Speed = 9.810151
Time = 12:40:20.646, Vertical = 1, Distance = 15.93453, Driven = 10.16839, Gap = -1.4962861.5,Speed = 10.49294
Time = 12:40:20.753, Vertical = 1, Distance = 15.931, Driven = 11.47499, Gap = -1.4957981.5,Speed = 11.17032
Time = 12:40:20.841, Vertical = 1, Distance = 15.92745, Driven = 12.86238, Gap = -1.495281.5,Speed = 11.84
Time = 12:40:20.973, Vertical = 1, Distance = 15.9238, Driven = 14.32957, Gap = -1.4947311.5,Speed = 12.50145
Time = 12:40:21.106, Vertical = 1, Distance = 15.92009, Driven = 15.87555, Gap = -1.4941541.5,Speed = 13.15473
Time = 12:40:21.209, Vertical = 1, Distance = 15.91631, Driven = 17.49936, Gap = -1.4935471.5,Speed = 13.79994
Time = 12:40:21.339, Vertical = 1, Distance = 15.91247, Driven = 19.20003, Gap = -1.4929121.5,Speed = 14.43716
Time = 12:40:21.439, Vertical = 1, Distance = 15.90857, Driven = 20.97662, Gap = -1.4922481.5,Speed = 15.0665
Time = 12:40:21.574, Vertical = 1, Distance = 15.9046, Driven = 22.82818, Gap = -1.4915571.5,Speed = 15.68806
Time = 12:40:21.676, Vertical = 1, Distance = 15.90056, Driven = 24.75379, Gap = -1.4908371.5,Speed = 16.30192
Time = 12:40:21.805, Vertical = 1, Distance = 15.89645, Driven = 26.75253, Gap = -1.4900911.5,Speed = 16.90819
Time = 12:40:21.938, Vertical = 1, Distance = 15.89227, Driven = 28.82351, Gap = -1.4893171.5,Speed = 17.50696
Time = 12:40:22.41, Vertical = 1, Distance = 15.88802, Driven = 30.96581, Gap = -1.4885171.5,Speed = 18.09832
Time = 12:40:22.175, Vertical = 1, Distance = 15.88369, Driven = 33.17856, Gap = -1.487691.5,Speed = 18.68236
Time = 12:40:22.306, Vertical = 1, Distance = 15.8793, Driven = 35.46089, Gap = -1.4868381.5,Speed = 19.25917
Time = 12:40:22.408, Vertical = 1, Distance = 15.87481, Driven = 37.81194, Gap = -1.4859591.5,Speed = 19.82884
Time = 12:40:22.539, Vertical = 1, Distance = 15.87026, Driven = 40.23085, Gap = -1.4850561.5,Speed = 20.39145
Time = 12:40:22.641, Vertical = 1, Distance = 15.75075, Driven = 42.71679, Gap = -1.4841271.5,Speed = 20.9471
Time = 12:40:22.770, Vertical = 1, Distance = 15.43647, Driven = 45.26891, Gap = -1.4831731.5,Speed = 21.49587
Time = 12:40:22.899, Vertical = 1, Distance = 14.93071, Driven = 47.88642, Gap = -1.4821961.5,Speed = 22.03784
Time = 12:40:22.999, Vertical = 1, Distance = 14.23644, Driven = 50.5685, Gap = -1.4811941.5,Speed = 22.5731
Time = 12:40:23.132, Vertical = 0, Distance = 13.35853, Driven = 53.31242, Gap = -1.4801691.5,Speed = 23.04103
Time = 12:40:23.267, Vertical = -1, Distance = 12.32276, Driven = 56.09452, Gap = -1.479131.5,Speed = 23.27129
Time = 12:40:23.362, Vertical = -1, Distance = 11.19452, Driven = 58.85151, Gap = -1.47811.5,Speed = 22.57338
Time = 12:40:23.499, Vertical = -1, Distance = 10.0775, Driven = 61.48175, Gap = -1.4771171.5,Speed = 21.45426
Time = 12:40:23.630, Vertical = -1, Distance = 8.979692, Driven = 63.97923, Gap = -1.4761841.5,Speed = 20.35639
Time = 12:40:23.729, Vertical = -1, Distance = 7.900823, Driven = 66.34623, Gap = -1.47531.5,Speed = 19.27649
Time = 12:40:23.862, Vertical = -1, Distance = 6.840609, Driven = 68.58495, Gap = -1.4744631.5,Speed = 18.21544
Time = 12:40:23.962, Vertical = -1, Distance = 5.798701, Driven = 70.69765, Gap = -1.4736741.5,Speed = 17.17299
Time = 12:40:24.94, Vertical = -1, Distance = 4.774789, Driven = 72.68652, Gap = -1.4729311.5,Speed = 16.14852
Time = 12:40:24.199, Vertical = -1, Distance = 4.470277, Driven = 74.20264, Gap = -1.47291.5,Speed = 10.87631
Time = 12:40:24.329, Vertical = -1, Distance = 4.499978, Driven = 75.44147, Gap = -1.4719551.5,Speed = 9.968239
Time = 12:40:24.467, Vertical = -1, Distance = 4.516733, Driven = 76.57793, Gap = -1.4697461.5,Speed = 9.103621
Time = 12:40:24.611, Vertical = 0, Distance = 4.532073, Driven = 77.60738, Gap = -1.4669481.5,Speed = 8.206735
Time = 12:40:24.725, Vertical = 1, Distance = 4.672491, Driven = 78.53115, Gap = -1.4640531.5,Speed = 7.33827
Time = 12:40:24.819, Vertical = 1, Distance = 4.976603, Driven = 79.37555, Gap = -1.461241.5,Speed = 6.941103
Time = 12:40:24.951, Vertical = 1, Distance = 5.348722, Driven = 80.23483, Gap = -1.4583011.5,Speed = 7.186326
Time = 12:40:25.50, Vertical = 1, Distance = 5.748919, Driven = 81.14782, Gap = -1.4551511.5,Speed = 7.842189
Time = 12:40:25.216, Vertical = 1, Distance = 6.150399, Driven = 82.14016, Gap = -1.4517081.5,Speed = 8.545091
Time = 12:40:25.350, Vertical = 1, Distance = 6.546595, Driven = 83.21737, Gap = -1.4479661.5,Speed = 9.257461
Time = 12:40:25.426, Vertical = 1, Distance = 6.937673, Driven = 84.3783, Gap = -1.4439341.5,Speed = 9.958846
Time = 12:40:25.523, Vertical = 1, Distance = 7.323833, Driven = 85.62181, Gap = -1.4396181.5,Speed = 10.64646
Time = 12:40:25.654, Vertical = 1, Distance = 7.705121, Driven = 86.94686, Gap = -1.435021.5,Speed = 11.32311
Time = 12:40:25.758, Vertical = 1, Distance = 8.081605, Driven = 88.35246, Gap = -1.4301431.5,Speed = 11.99099
Time = 12:40:25.890, Vertical = 1, Distance = 8.453308, Driven = 89.83763, Gap = -1.4249911.5,Speed = 12.65058
Time = 12:40:26.23, Vertical = 1, Distance = 8.820307, Driven = 91.40137, Gap = -1.4195661.5,Speed = 13.30202
Time = 12:40:26.120, Vertical = 1, Distance = 9.182647, Driven = 93.04272, Gap = -1.4138721.5,Speed = 13.9454
Time = 12:40:26.258, Vertical = 1, Distance = 9.540398, Driven = 94.76073, Gap = -1.4079131.5,Speed = 14.58082
Time = 12:40:26.356, Vertical = 1, Distance = 9.893589, Driven = 96.55444, Gap = -1.4016911.5,Speed = 15.20838
Time = 12:40:26.491, Vertical = 1, Distance = 10.24228, Driven = 98.42289, Gap = -1.3952091.5,Speed = 15.82818
Time = 12:40:26.619, Vertical = 1, Distance = 10.58656, Driven = 100.3652, Gap = -1.3884721.5,Speed = 16.44031
Time = 12:40:26.723, Vertical = 1, Distance = 10.92643, Driven = 102.3804, Gap = -1.3814821.5,Speed = 17.04487
Time = 12:40:26.854, Vertical = 1, Distance = 11.26197, Driven = 104.4677, Gap = -1.3742411.5,Speed = 17.64195
Time = 12:40:26.955, Vertical = 1, Distance = 11.59322, Driven = 106.626, Gap = -1.3667541.5,Speed = 18.23163
Time = 12:40:27.88, Vertical = 1, Distance = 11.92023, Driven = 108.8547, Gap = -1.3590241.5,Speed = 18.81402
Time = 12:40:27.219, Vertical = 1, Distance = 12.24307, Driven = 111.1527, Gap = -1.3510521.5,Speed = 19.3892
Time = 12:40:27.322, Vertical = 1, Distance = 12.56178, Driven = 113.5192, Gap = -1.3428431.5,Speed = 19.95726
Time = 12:40:27.454, Vertical = 1, Distance = 12.87639, Driven = 115.9534, Gap = -1.33441.5,Speed = 20.51829
Time = 12:40:27.584, Vertical = 1, Distance = 13.18698, Driven = 118.4545, Gap = -1.3257241.5,Speed = 21.07236
Time = 12:40:27.683, Vertical = 1, Distance = 13.49357, Driven = 121.0215, Gap = -1.3168191.5,Speed = 21.61958
Time = 12:40:27.805, Vertical = 1, Distance = 13.79622, Driven = 123.6537, Gap = -1.3076891.5,Speed = 22.16002
Time = 12:40:27.920, Vertical = 1, Distance = 14.09497, Driven = 126.3504, Gap = -1.2983351.5,Speed = 22.69377
Time = 12:40:28.52, Vertical = 1, Distance = 14.38986, Driven = 129.1106, Gap = -1.288761.5,Speed = 23.22091
Time = 12:40:28.185, Vertical = 1, Distance = 14.68096, Driven = 131.9336, Gap = -1.2789681.5,Speed = 23.74151
Time = 12:40:28.285, Vertical = 1, Distance = 14.96827, Driven = 134.8186, Gap = -1.268961.5,Speed = 24.25567
Time = 12:40:28.418, Vertical = 1, Distance = 15.24413, Driven = 137.7649, Gap = -1.258741.5,Speed = 24.76346
Time = 12:40:28.519, Vertical = 1, Distance = 15.46617, Driven = 140.7717, Gap = -1.248311.5,Speed = 25.26496
Time = 12:40:28.648, Vertical = 1, Distance = 15.62851, Driven = 143.8382, Gap = -1.2376731.5,Speed = 25.76024
Time = 12:40:28.781, Vertical = 1, Distance = 15.73185, Driven = 146.9638, Gap = -1.2268311.5,Speed = 26.24939
Time = 12:40:28.882, Vertical = 1, Distance = 15.77696, Driven = 150.1476, Gap = -1.2157871.5,Speed = 26.73247
Time = 12:40:29.12, Vertical = 1, Distance = 15.77937, Driven = 153.3741, Gap = -1.2045951.5,Speed = 26.90568
Time = 12:40:29.145, Vertical = 1, Distance = 15.77958, Driven = 156.6028, Gap = -1.1933961.5,Speed = 26.90573
Time = 12:40:29.250, Vertical = 1, Distance = 15.7798, Driven = 159.8315, Gap = -1.1821961.5,Speed = 26.90576
Time = 12:40:29.379, Vertical = 1, Distance = 15.78002, Driven = 163.0602, Gap = -1.1709971.5,Speed = 26.90576
Time = 12:40:29.481, Vertical = 1, Distance = 15.78026, Driven = 166.2889, Gap = -1.1597971.5,Speed = 26.90576
Time = 12:40:29.610, Vertical = 1, Distance = 15.7805, Driven = 169.5176, Gap = -1.1485981.5,Speed = 26.90576
Time = 12:40:29.743, Vertical = 1, Distance = 15.78075, Driven = 172.7464, Gap = -1.1373981.5,Speed = 26.90576
Time = 12:40:29.843, Vertical = 1, Distance = 15.781, Driven = 175.9751, Gap = -1.1261991.5,Speed = 26.90576
